Delhi,2026-01-30,17.7,10.0,17.2,9.4,0.0,0.0,45,6.5,18.7,278
Jaipur,2026-01-30,18.4,10.0,17.4,9.3,0.0,0.0,3,7.2,18.7,120
Lucknow,2026-01-30,19.6,11.5,19.9,11.2,0.0,0.0,3,7.0,20.2,279
Ahmedabad,2026-01-30,27.8,16.3,28.2,15.0,0.0,0.0,3,12.8,29.5,66
Kolkata,2026-01-30,25.6,15.6,27.5,16.0,0.0,0.0,3,8.4,20.9,5
Mumbai,2026-01-30,25.4,24.6,30.3,28.2,0.0,0.0,3,11.0,16.6,307
Pune,2026-01-30,31.2,19.1,30.9,20.8,0.0,0.0,3,12.9,28.1,149
Hyderabad,2026-01-30,29.1,18.0,29.8,19.4,0.0,0.0,3,10.4,24.1,109
Chennai,2026-01-30,29.0,21.5,32.0,24.6,0.0,0.0,2,10.8,30.6,32
Bangalore,2026-01-30,28.1,15.7,27.3,16.0,0.0,0.0,1,13.7,33.5,87
